name,protein,fats,carbs,calories
Рис Жменька пропаренный Gold,7.3,0.2,75.4,341
Рис Жменька Супер Басмати,7.1,0.2,71.2,322
Рис Жменька Суши,7.2,0.3,79.0,347
Рис золотистый,8.1,0.4,78.0,349
Рис Карнароли,7.5,2.6,62.5,303
Рис коричневый,6.3,4.4,65.1,331
Рис коричневый вареный,2.6,0.9,22.8,110
Рис красный нешлифованный,10.5,2.5,70.5,362
Рис круглозерный шлифованный,0.1,0.4,79.0,350
Рис Мистраль Акватика Color Mix,8.8,2.3,72.8,356
Рис Мистраль Акватика Дикий,14.0,0.5,72.0,357
Рис Мистраль круглозерный,0.1,0.4,79.5,355
Рис Мистраль пропаренный,7.1,0.7,79.3,361
Рис Мистраль Самарканд красный круглозерный,8.0,0.5,75.8,320
Рис нешлифованный вареный,2.7,0.7,36.0,125
Рис Нишики,7.0,2.0,56.0,277
Рис Пассим круглозёрный Приморский,7.0,1.0,74.0,333
Рис полированный,7.0,1.0,71.4,330
Рис рассыпчатый,2.4,0.2,24.9,113
Рис Фушигон,7.0,0.6,77.3,340
Рисовая бумага,5.8,0.0,77.0,333
Рисовая бумага Сэн Сой Премиум,5.8,0.0,77.4,333
Рисовая каша Nestle безмолочная,6.5,1.0,86.5,381
Рисовая каша Nestle молочная с бананом,12.0,10.0,70.9,422
Рисовая каша Nestle молочная с яблоком,12.0,10.0,70.9,422
Рисовая каша Малютка молочная с курагой,12.2,15.2,65.5,448
Рисовая каша Малютка молочная с соком персика,13.0,10.0,70.0,422
Рисовая каша на воде,1.5,0.1,17.4,78
Рисовая каша на молоке,2.5,3.1,16.0,97
Рисовая каша ФрутоНяня безмолочная с яблоком и абрикосом,0.5,0.0,13.0,54
Рисовая кашка Heinz абрикос чернослив молочная,13.0,11.1,68.0,422
Рисовая кашка Heinz низкоаллергенная без молока,7.9,0.6,85.0,377
Рисовая кашка ФрутоНяня молочная жидкая,2.1,2.0,10.6,68
Рисовые отруби,13.4,20.9,28.9,316
Рисовые хлопья,7.0,2.0,77.0,360
Рисовые хлопья Myllyn Paras,7.0,1.0,77.0,360
Рисовые хлопья Myllyn Paras для каши,7.0,1.0,77.0,360
Рогалик,7.9,10.8,57.2,357
Рожки Myllyn Paras,10.4,1.1,71.5,344
Рожки сдобные,8.3,12.1,50.5,345
Рожь (зерна),9.9,2.2,55.8,283
Розмарин,3.3,5.9,20.7,131
Розмарин сушеный,4.8,15.2,64.0,331
Розовая эссенция,0.0,0.0,0.0,
Ролл Авокадо,2.0,1.3,21.2,105
Ролл Аляска,4.2,2.7,12.2,90
Ролл Ацуй маки,5.8,5.7,15.5,137
Ролл Беруто дайкон,0.3,0.4,23.4,99
Ролл Бутанику кимути,5.1,6.9,15.2,144
Ролл Гейша маки,5.7,7.2,17.4,158
Ролл Дзитаку,6.4,6.1,16.8,148
Ролл Дракон маки,4.8,11.4,16.7,189
Ролл Инари спайси,6.0,4.8,13.8,123
Ролл Кагувасэ,7.2,6.5,20.9,171
Ролл Кадзи сякэ,6.5,5.9,15.8,142
Ролл Калифорния,7.0,8.8,17.2,176
Ролл Кани хината,4.4,6.2,12.7,124
Ролл Каппа маки,1.7,0.7,19.2,90
Ролл Каруй,0.1,0.3,10.8,46
Ролл Киото,8.4,6.3,16.0,155
Ролл Кирои,4.8,8.3,16.3,159
Ролл Кунсэй батакон,8.3,8.9,15.1,174
Ролл Манацуби,4.5,3.4,12.6,99
Ролл Масиро дайкон,2.3,2.0,11.1,71
Ролл Мидори сякэ,9.8,6.5,13.5,152
Ролл Овара,6.5,5.9,15.8,143
Ролл Окинава,5.8,4.8,18.0,139
Ролл Радуга,3.5,2.4,17.3,105
Ролл Рок-н-ролл,5.3,5.6,16.5,138
Ролл Супайсу тэмпура,8.5,6.7,16.5,160
Ролл Сякэ,6.8,2.7,19.3,128
Ролл Сякэ кунсей маки,6.0,5.5,18.1,146
Ролл Сякэ унаги маки,8.5,7.1,13.1,150
Ролл Тамаго маки,7.0,7.0,13.5,145
Ролл Тануки,9.7,11.5,14.4,201
Ролл Тануки фурай маки,5.5,6.6,18.2,154
Ролл Тори ясай,6.5,8.3,5.6,160
Ролл Тэкка маки,2.8,1.7,19.2,105
Ролл Тэмпура,6.1,3.6,18.0,129
Ролл Унаги,5.3,8.3,19.2,173
