name,protein,fats,carbs,calories
Бизонье мясо,21.6,1.2,0.0,109
Биойогурт Останкинский 2.5%,3.2,2.5,8.9,71
Биойогурт Тёма Груша-яблоко,3.2,2.8,11.6,84
Биойогурт Тёма Зеленое яблоко,3.2,2.8,11.7,85
Биойогурт Тёма Лесные ягоды,3.2,2.8,11.5,84
Биойогурт Тёма Шиповник-малина,3.2,2.8,12.0,86
Биокефир Агуша 3.2%,2.7,3.2,4.0,56
Биокефир Останкинский 0.1%,3.0,0.1,3.6,27
Биокефир Тёма детский 3.2%,2.8,3.2,4.1,56
Биотворог Тёма c черникой,7.9,4.2,10.3,111
Биотворог Тёма c черносливом,7.9,4.2,10.1,110
Биотворог Тёма классический,9.1,5.0,3.5,95
Биотворог Тёма с абрикосом,7.9,4.2,10.4,111
Биотворог Тёма с яблоком и морковью,7.9,4.2,10.0,109
Бисквитник Сдобная особа медовый с вареной сгущенкой,5.3,19.6,46.1,378
Бисквитник Сдобная особа с начинкой маракуйя,3.9,17.2,51.5,375
Бисквитник Сдобная особа шоколадный с шоколадной начинкой,4.3,18.3,48.5,378
Бифацил,2.9,2.5,7.9,66
Бифитат,2.8,3.4,4.7,61
Бифштекс,27.8,29.6,1.7,384
Блины,6.1,12.3,26.0,233
Блины с ветчиной,8.9,13.5,33.9,292
Блины с ветчиной и сыром,14.3,20.2,35.3,382
Блины с грибами,6.7,9.9,21.0,218
Блины с красной икрой,12.7,15.2,33.7,324
Блины с маслом,8.0,15.2,40.6,332
Блины с мёдом,7.2,13.5,50.4,350
Блины с сёмгой,11.2,14.9,33.8,313
Блины с сыром,11.4,18.3,34.3,348
Блины со сгущеным молоком,8.1,12.4,41.7,324
Блины со сметаной,7.1,16.3,34.3,311
Блюдо армянское Бозбаш 4 сезона,3.0,9.5,4.0,126
Блюдо болгарское Жаркое по-деревенски 4 сезона,3.5,11.1,5.5,137
Блюдо греческое Мясо по-македонски 4 сезона,5.8,10.1,22.0,206
Блюдо грузинское Чахохбили с фасолью 4 сезона,6.2,5.5,3.4,87
Блюдо индийское Цыплёнок карри 4 сезона,6.6,3.2,21.0,142
Блюдо испанское Паэлья 4 сезона,8.2,3.0,16.3,129
Блюдо итальянское Пенне карбонара 4 сезона,5.6,11.4,16.4,188
Блюдо итальянское Ризотто с морепродуктами 4 сезона,6.5,6.4,18.8,163
Блюдо китайское Курочка по-пекински 4 сезона,5.6,3.3,11.8,102
Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,4.4,9.4,14.8,153
Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,6.6,8.5,10.7,127
Блюдо мексиканское Чили кон карне 4 сезона,6.4,8.8,15.7,160
Блюдо наше Макароны по-флотски 4 сезона,7.6,9.9,21.2,185
Блюдо русское Барашек с гречкой 4 сезона,5.9,13.8,17.7,224
Блюдо среднеазиатское Лагман 4 сезона,4.3,8.9,13.3,158
Блюдо тайское Лапша карри 4 сезона,5.9,6.4,12.7,128
Блюдо узбекское Плов с бараниной 4 сезона,4.2,6.0,14.9,150
Блюдо французское Шампиньон де пари 4 сезона,6.7,9.5,5.1,129
Блюдо швейцарское Фондю эменталь 4 сезона,7.9,10.2,13.3,175
Блюдо японское Сакэна с рисом 4 сезона,5.7,2.4,13.6,103
Бобы,6.0,0.1,8.5,57
Бобы зелёные,6.0,0.1,10.5,60
Болдо,7.6,8.3,48.6,313
Большой завтрак McDonalds,30.0,30.0,62.0,640
Большой завтрак McDonalds с джемом,30.0,35.0,58.0,675
Большой завтрак McDonalds с мёдом,30.0,35.0,60.0,685
Бопс (Полосатик),15.3,1.5,0.0,79
Бораки,13.7,12.0,30.7,277
Борщ 4 сезона Московский,3.5,0.1,8.9,51
Борщ Hortex украинский,1.4,0.2,4.8,31
Борщ из свежей капусты с мясом,4.4,3.6,5.5,63
Борщ Леовит Худеем за неделю Сибирский с мясом,19.0,3.5,48.0,300
Борщ летний холодный,1.1,2.1,6.4,49
Борщ сибирский,1.9,1.5,6.8,48
Борщ Сибирский с фрикадельками,5.8,5.3,5.0,82
Борщ украинский,1.1,2.2,6.7,49
Борщик Heinz с говядинкой,11.3,6.7,67.0,374
Боярышник,0.0,0.0,14.0,52
Боярышник сушеный,0.0,0.0,38.0,142
Бразильский орех,14.3,66.4,4.8,656
Бренди,0.0,0.0,0.5,225
Брецель,20.0,6.0,35.0,300
Бриошь,5.2,7.5,57.2,304
Бротола,19.4,1.6,0.0,92
Брускетта,4.7,23.0,21.7,315
Брусника,0.7,0.5,9.6,43
Брусника 4 сезона,0.7,0.5,8.2,40
Брусника Hortex,0.7,0.4,7.5,36
Брусника мочёная,0.3,0.2,5.3,24
